4,What sound comes at the very beginning of “wanted” and “wander”?,W,S,T,K
10,What sound comes at the very beginning of “doodle” and “doo” and “dame"?,D,S,M,P
11,The mistress lost her what? ,Shoe,Hat,Mitten,Frog
13,What word rhymes with “doo”?,Shoe,Fiddlestick,Hen,Strawberry
19,What sound comes at the very beginning of “Peter” and “pumpkin”?,P,K,L,F
22,What sound comes at the end of “eater” and “another” and “her”?,ER,ST,WH,OW
23,What sound comes at the beginning of “had” and “he” and “her”?,H,K,L,V
26,What sound comes in the middle of “Lady-bird” and “Lady-bug” and at the beginning of “burn”?,B,S,K,G
30,Which sound comes at the beginning of “was” and “weather” and “one”?,W,F,M,G
35,What two sounds come at the end of “warm” and “harm”?,RM,ST,GL,ND
39,What sound comes in the middle of “Peep” and “sheep” ?,E,U,O,A
44,What two sounds come at the end of “Etticoat” and “Petticoat”?,OT,RL,ST,NG
45,What sound comes at the beginning of “Jack” and “jump”?,J,W,Z,H
52,What sound comes at the end of “away” and “stay”?,A,J,O,U
53,What sound comes in the middle of “story” and “Mary” and “Morey”?,R,K,P,B
56,What two sounds come at the end of “begun” and “done”?,UN,IT,OR,CL
60,What sound comes at the beginning of “tree” and “top”?,T,F,W,M
61,What sound comes in the middle of “ride” and “tied”?,I,O,U,A
67,What sound comes in the middle of “hickery” and “dickery” and at the end of “dock”?,K,L,M,V
72,What sound comes at the end of “me” and “B” and “C”?,E,L,R,K
76,What sound comes at the end of “snow” and “no” and in the middle of “cold”?,O,E,A,I
78,What sound is in the middle of “hid” and “till” and “live”?,sound-I-short,O,U,E
81,What sound comes at the beginning of “Tommy” and beginning and middle of “Tittlemouse”?,T,R,V,X
84,What sound comes in the middle of “little” and “fishes” and “ditches”?,sound-I-short,O,R,M
85,What sound is at the beginning of “bush” and in the middle of “about”?,B,K,L,J
96,What sound is in the middle of “hickety” and “pickety”?,K,R,L,W
97,What sound is at the end of “day” and “hay”?,A,O,U,R
100,What sound is at the beginning of “them” and “the”?,TH,FR,ND,SM
104,What sound is in “children” and “winter” and “it”?,sound-I-short,U,O,A
108,What sound is at the beginning of “Wee” and “Willie” and “Winkie”?,W,K,R,S
112,What sound is at the end of “shoe” and “do”?,U,K,R,M
113,What sound is at the beginning of “came” and “climbed”?,C,P,R,N
120,What sound is at the beginning of “fourteen” and “fifteen”?,F,K,W,Z
122,What two sounds come at the end of “stall” and “wall”?,AL,PR,SM,IT
124,What sound comes at the end of “calf” and “half”?,F,G,Z,P
125,What two sounds come at the end of “bow” and “wow”?,OW,UR,ST,NG
127,What sound comes at the beginning of “Tom” and “Tinker”?,T,S,H,Z
128,What sound comes in the middle of “little” and “Tinker”?,sound-I-short,M,G,P
132,What sound comes at the end of “fire” and “fair” and “there”?,R,H,Z,D
133,What sound comes at the beginning of “jumping” and “Joan”?,J,V,F,K
136,What sound comes at the beginning and end of “little” and in the middle of “alone”?,L,P,X,S
140,What two sounds come at the end of “hill” and “still”?,IL,AR,E,GR
141,What sound comes at the beginning of “says” and “simple” and “Simon”?,S,H,F,V
144,What sound comes in the middle of “penny” and “any”?,N,S,Q,F
148,What sound comes at the end of “rye” and “pie”?,I,O,A,U
152,What sound comes at the beginning of “nipped” and “nose”?,N,H,F,W
153,What sound comes in the middle of “pig” and “jig”?,sound-I-short,O,R,L
156,What sound comes at the beginning of “jiggity” and “jog”?,J,V,X,R
160,What sound is at the beginning and end of “cake” and the end of “black?”,K,M,S,D
164,What sound is at the beginning of “she” and “shall”?,SH,CL,ND,UT
168,What sound is in the middle of “muffet” and “tuffet”?,F,G,R,S
169,What sound is at the beginning of “went” and “wise”?,W,B,P,G
172,What sound is at the end of “stronger” and “longer”?,ER,CH,SK,BL
176,What sound is at the beginning of “laddy” and in the middle of “flaw” and “alone” and the end of “all”?,L,P,X,M
178,The rhyme says one what flew back?,Cat,Bee,Frog,Bat
180,What sound is at the end of “flew” and “two” and “do” and “you”?,U,M,Z,B
184,What sounds come in the middle of “milking” and “silking”?,ILK,THA,M,DWE
187,What sound comes at the beginning of “sat” and “cinder”?,S,M,L,V
191,What sounds come at the end of “beat” and “street”?,ET,Z,AR,M
196,What sounds come at the end of “crown” and “down”?,OWN,BRI,SLE,TWI
197,What sound comes in the middle of “dillar” and “dollar” and “scholar”?,L,M,F,G
199,What sound comes in the middle of “noon” and “soon”?,U,F,Z,Q
200,What sound is at the beginning of “come” and “clock” and in the middle of “scholar”?,K,V,N,W
204,What sounds come at the end of “there” and “chair”?,AR,IL,UN,OV
208,What sound is in the middle of “pat” and “man” and “can”?,sound-A-short,O,U,E
210,What sounds are at the beginning of “blue” and “blow” ?,BL,ST,GR,WH
